id_general_posted,id_user,created_at,id_post_location,id_sharing_entity
4465211027412887301,4350668590575230341,2020-09-21 18:27:06.867344+00,4350668590575230341,6699099364577115685
8160151256931270575,4350668590575230341,2020-09-21 21:55:07.859679+00,7142996679882365286,6355568958685108980
934420171583988032,4350668590575230341,2020-09-21 21:55:07.937792+00,4350668590575230341,6355568958685108980
7621869254764144661,4578752548300521406,2020-09-24 16:04:36.840049+00,5823539174962944596,6699099364577115685
4880219383172546353,4350668590575230341,2020-10-03 14:10:34.72519+00,3341726926930688201,6699099364577115685
8841190823506713131,4578752548300521406,2020-10-03 16:39:31.491774+00,4514143033643275793,6699099364577115685
4877217259652238100,4350668590575230341,2020-10-05 20:36:14.94512+00,7699849197290936190,6699099364577115685
356729586263341823,4578752548300521406,2020-10-06 15:58:47.435855+00,7353798725087714977,5783557331127440813
264115690830704724,4578752548300521406,2020-10-06 16:05:31.00046+00,7353798725087714977,6699099364577115685
6507476312145730062,4350668590575230341,2020-10-09 15:23:48.727229+00,7699849197290936190,6699099364577115685
7348825932869349062,4350668590575230341,2020-10-13 18:54:28.556656+00,4770545539649587998,6699099364577115685
1692637849893208117,4350668590575230341,2020-10-17 11:27:22.064446+00,4350668590575230341,6199026927078949326
8624406084174873285,6321887229348302000,2020-10-20 10:24:27.857998+00,7607624967826540450,6699099364577115685
4356645807586033140,6321887229348302000,2020-10-20 11:01:38.728699+00,7090861779521065924,6699099364577115685
5103758056133275579,6321887229348302000,2020-10-20 11:19:45.624594+00,2666562248537242975,6699099364577115685
1152658115202352872,4578752548300521406,2020-10-20 11:45:17.476144+00,7405760699145799598,6699099364577115685
1338898326854637597,6321887229348302000,2020-10-20 15:20:14.884933+00,7414123523394671054,6699099364577115685
9188731081584270946,2785457223132338347,2020-10-20 19:39:22.963617+00,4770545539649587998,6699099364577115685
2833046326242016290,4350668590575230341,2020-10-21 16:23:33.185437+00,123288919920816583,6699099364577115685
1192395730280628018,6321887229348302000,2020-10-24 15:07:19.378694+00,7349035971412681865,6699099364577115685
1815864740432622676,5360388313199267805,2020-10-25 21:08:28.473397+00,4574434155254463063,6699099364577115685
