id_general_posted,id_user,created_at,id_post_location,sum_ratings,n_ratings
303523962016119582,4350668590575230341,2020-01-10 18:56:12.464745+00,1895911521686893072,17,5
1524513469585597207,4578752548300521406,2020-01-25 12:27:25.320529+00,2274927870938338364,4,1
1985080586867438040,4350668590575230341,2020-01-25 15:25:34.147978+00,8322380472299975289,0,0
7587275190023802862,4350668590575230341,2020-01-25 19:36:31.585278+00,8676588670188881181,0,0
8559650384079501319,4350668590575230341,2020-01-25 19:40:31.838771+00,6297009380917496369,2,1
948727954158382966,4578752548300521406,2020-01-27 10:49:07.152067+00,1895911521686893072,15,4
4752987663096692646,4578752548300521406,2020-01-27 11:34:20.564176+00,4934916379609179491,0,0
4634625987251239220,4578752548300521406,2020-01-27 11:22:26.238705+00,4934916379609179491,4,1
3281497283210416514,4578752548300521406,2020-01-27 12:12:08.087782+00,4780207503499370684,9,2
5603292073195601919,4578752548300521406,2020-01-27 11:44:27.48473+00,4780207503499370684,4,1
8626784667138438042,4578752548300521406,2020-01-27 12:45:18.127702+00,6495200804860143268,0,0
1317323823184565313,4578752548300521406,2020-01-27 14:21:09.250089+00,3931040148310365327,0,0
5535580932286177812,4578752548300521406,2020-01-27 12:29:00.131211+00,2820246054022071500,0,0
3827571087331422351,4578752548300521406,2020-01-27 17:50:39.492837+00,2464104654504339541,3,1
8394224400534526637,4578752548300521406,2020-01-27 17:38:18.510538+00,2464104654504339541,4,1
5514475981702083523,4350668590575230341,2020-01-29 10:36:32.918566+00,5823539174962944596,9,2
1077199376903856158,4350668590575230341,2020-01-28 09:36:32.038379+00,4636620807451278531,4,1
6040512749289143306,4350668590575230341,2020-01-29 10:51:01.977308+00,5823539174962944596,10,3
7694956060392757845,4350668590575230341,2020-01-29 11:51:44.811472+00,1551236405231908743,0,0
4330094493015604801,4350668590575230341,2020-01-29 13:25:04.481696+00,8926098586900089649,13,3
7811514088904128535,4578752548300521406,2020-01-29 11:47:54.795999+00,8926098586900089649,12,3
3320232220949843782,5662611761154100570,2020-01-31 15:55:55.83802+00,7492212770033386338,4,1
3606990015697663173,5662611761154100570,2020-01-31 16:09:20.461199+00,8161525871314388566,4,1
8148762629624703526,5662611761154100570,2020-01-31 16:21:57.177453+00,5275576314563826178,3,1
2094435699259762829,5662611761154100570,2020-01-31 16:41:21.875633+00,8103963232160131954,22,5
8164047327288765022,4350668590575230341,2020-02-09 14:46:31.711002+00,5823539174962944596,15,3
6797275530194620859,4350668590575230341,2020-02-10 09:04:16.74731+00,8103963232160131954,0,0
8273018634687137636,4350668590575230341,2020-02-10 10:48:35.555307+00,4514143033643275793,0,0
2628504686739556027,4350668590575230341,2020-02-10 10:57:32.612237+00,2444016571729532796,5,1
6628486417996614219,4350668590575230341,2020-02-10 15:02:16.37599+00,4105652930548955700,0,0
2867147419015409798,4350668590575230341,2020-02-10 15:16:14.30475+00,2919897058166441674,0,0
1956528998747751030,4350668590575230341,2020-02-10 15:09:53.808031+00,4105652930548955700,0,0
6728602344408631481,4350668590575230341,2020-02-14 14:00:14.282906+00,2919897058166441674,0,0
2371427041367491675,4350668590575230341,2020-02-14 16:59:32.431594+00,7054879140152097393,0,0
2534016017015569203,4350668590575230341,2020-02-14 20:29:16.624579+00,6351786562965780241,0,0
2507309971445015961,4350668590575230341,2020-02-14 20:33:35.262182+00,4327929035738772981,0,0
2534929440903516182,4350668590575230341,2020-02-14 20:46:54.160318+00,8983287173499488408,0,0
6160560250192695126,4350668590575230341,2020-02-14 20:54:28.982888+00,7608006908076589908,0,0
523418833697039746,4350668590575230341,2020-02-18 09:04:07.702158+00,7492212770033386338,0,0
7113872229580898000,4350668590575230341,2020-02-18 12:03:09.137738+00,5823539174962944596,12,3
4811144299044680639,5662611761154100570,2020-02-23 17:54:07.963962+00,4704279807855067649,4,1
1408670915323467225,5662611761154100570,2020-02-23 19:24:39.718451+00,2335474179552570772,4,1
316309069959097671,5662611761154100570,2020-02-24 11:53:28.678256+00,8209524283935202385,0,0
1353788709526994318,5662611761154100570,2020-02-24 14:55:09.953418+00,9120561620370621830,0,0
399262256447165951,5662611761154100570,2020-02-24 14:59:12.622307+00,6223238529751530323,0,0
3444413809533870834,5662611761154100570,2020-02-24 15:04:52.947494+00,2021733959861663308,0,0
4310775516982088092,5662611761154100570,2020-02-24 15:07:55.305125+00,927795597704415037,0,0
288472323356979868,5662611761154100570,2020-02-24 15:17:01.579633+00,6918293647566700873,3,1
8969098048496991874,5662611761154100570,2020-02-24 15:24:50.747607+00,7549408254043664157,0,0
154713287666530309,5662611761154100570,2020-02-24 15:37:58.488973+00,7285245329618815370,0,0
8432451593970823313,5662611761154100570,2020-02-25 15:46:05.159821+00,8697598069756838110,4,1
3545304073489053287,5662611761154100570,2020-02-25 17:04:48.485118+00,5831840430134101938,0,0
2985965280384636960,5662611761154100570,2020-02-25 17:47:15.332246+00,5831840430134101938,0,0
8201872489829472603,5662611761154100570,2020-02-26 09:41:48.518234+00,4327056582276561902,0,0
2135363312828549954,5662611761154100570,2020-02-26 09:51:49.825323+00,4207499184555989745,0,0
6101346293239165676,5662611761154100570,2020-02-26 08:50:19.426121+00,4207499184555989745,0,0
8795908645761955201,5662611761154100570,2020-02-26 10:28:11.989011+00,4020632239626823149,0,0
3492996698470113437,5662611761154100570,2020-02-26 10:58:06.001364+00,8843008424314783299,5,1
8904511141178486376,5662611761154100570,2020-02-26 11:07:19.853896+00,6818311837404197051,0,0
2255351863601693243,5662611761154100570,2020-02-26 11:09:27.461896+00,9048052446506308938,14,3
7835281788998321099,5662611761154100570,2020-02-26 10:22:09.274019+00,9048052446506308938,7,2
3569597990202970965,5662611761154100570,2020-02-26 11:30:04.714715+00,731047326946014989,0,0
4655803395421754982,5662611761154100570,2020-02-26 11:40:36.379513+00,731047326946014989,0,0
8922459578246082193,5662611761154100570,2020-02-26 11:49:16.108741+00,6394834935777408622,0,0
7100228100887361350,5662611761154100570,2020-02-26 11:51:14.591894+00,5328165817215587444,0,0
6217277793359809998,5662611761154100570,2020-02-26 16:26:33.291191+00,8889106978101060862,0,0
5942691089115419162,5662611761154100570,2020-02-26 16:29:13.946157+00,8889106978101060862,0,0
2101781439876856147,4350668590575230341,2020-02-26 16:44:23.545365+00,9039269359159953385,0,0
8185893070172069212,5662611761154100570,2020-02-26 16:33:52.208749+00,8889106978101060862,0,0
4447603615958948083,4350668590575230341,2020-02-26 16:54:44.429298+00,1375287420314225163,0,0
4262562669489345223,5662611761154100570,2020-02-26 17:11:20.715491+00,5172783683774439405,0,0
6636595735448429733,5662611761154100570,2020-02-26 16:50:06.182729+00,5172783683774439405,0,0
5729530971624736819,4350668590575230341,2020-02-26 17:16:10.805781+00,2391228134079580540,4,1
53506966126784658,4350668590575230341,2020-02-26 17:16:04.446349+00,7842624655500230991,0,0
3328273248679237202,5662611761154100570,2020-02-26 17:37:54.681372+00,5761446646396847300,0,0
1426439267019313411,4350668590575230341,2020-02-28 08:03:04.3037+00,730608091580610975,3,1
893567017453862667,4350668590575230341,2020-02-28 09:33:52.259819+00,8167380492592153545,0,0
3010234565827718769,4350668590575230341,2020-02-28 09:49:12.127337+00,2608494087740587253,0,0
5274040537750175363,4578752548300521406,2020-03-01 10:14:13.598424+00,6918293647566700873,5,1
8808886102923177085,4578752548300521406,2020-03-01 11:44:37.089027+00,6918293647566700873,4,1
7594838612707061324,4578752548300521406,2020-03-01 12:46:53.938238+00,6534449075193132889,0,0
2084558859469847793,4350668590575230341,2020-03-01 14:44:22.035842+00,7054879140152097393,0,0
7888492752510389357,5662611761154100570,2020-03-01 16:38:59.041263+00,956305515783854478,0,0
6341221528189091061,5662611761154100570,2020-03-01 16:48:26.768981+00,1496049373977952544,0,0
4641174829165359378,5662611761154100570,2020-03-01 17:08:21.475346+00,736785874221146927,0,0
5931138667896047519,4578752548300521406,2020-03-04 14:59:18.191662+00,2714829231940413107,0,0
3353517062078431702,4350668590575230341,2020-03-04 15:13:51.964212+00,3036765687414893218,0,0
5885747781075674264,4578752548300521406,2020-03-04 15:18:56.305132+00,359521892679519198,0,0
1175280635589320385,5662611761154100570,2020-03-04 14:28:39.727634+00,5831840430134101938,0,0
205073763529742255,5662611761154100570,2020-03-04 15:32:17.921209+00,5063926366420261633,0,0
2860313215600766096,5662611761154100570,2020-03-04 15:29:28.09487+00,225692265854814856,0,0
2627951580910064676,4578752548300521406,2020-03-04 15:57:31.436311+00,5007414859417447333,0,0
8627383124563124099,5662611761154100570,2020-03-04 16:01:04.527404+00,5143236204830406559,0,0
6430028904259546532,4578752548300521406,2020-03-04 16:34:12.100036+00,935867134633476540,0,0
9084791360694736437,4350668590575230341,2020-03-04 16:37:44.582003+00,559261917565470518,0,0
2646617526325474325,4350668590575230341,2020-03-04 16:51:04.698505+00,1537179251469544777,0,0
2769858182984244594,4578752548300521406,2020-03-04 17:07:57.31246+00,8141309808936229614,0,0
4190113226648951494,5662611761154100570,2020-03-04 17:18:56.008824+00,8299604198366284677,0,0
3305135666306357446,5662611761154100570,2020-03-04 16:59:18.224413+00,8299604198366284677,0,0
654291268164623369,5662611761154100570,2020-03-04 17:33:07.686748+00,956305515783854478,0,0
1640008401786422774,5662611761154100570,2020-03-04 17:44:14.460336+00,246861164434847192,4,1
8972634004004470670,4350668590575230341,2020-03-04 17:36:36.87235+00,1537179251469544777,0,0
800990889420337949,4578752548300521406,2020-03-04 17:49:11.691247+00,5822361794095181649,0,0
2182364387656555253,4350668590575230341,2020-03-04 17:53:31.907314+00,8127646558771602615,0,0
7938811176848214320,4350668590575230341,2020-03-04 17:46:58.473924+00,8127646558771602615,0,0
5481224371055984862,5662611761154100570,2020-03-04 18:35:42.692158+00,6639684685224155368,0,0
4994856638921009649,4578752548300521406,2020-03-04 18:37:36.300224+00,5396565497312499484,0,0
6377842577374721372,5662611761154100570,2020-03-04 18:27:26.478781+00,246861164434847192,4,1
3886081878996970607,4350668590575230341,2020-03-04 18:46:39.450561+00,2043642977497272259,0,0
3006457180282062235,4578752548300521406,2020-03-04 18:49:13.541398+00,5823539174962944596,5,1
7615607439404889492,5662611761154100570,2020-03-04 18:53:15.805818+00,6639684685224155368,0,0
2651177061849029018,4350668590575230341,2020-03-04 18:58:27.068023+00,2279470530057912411,0,0
631629940213327364,5662611761154100570,2020-03-06 09:59:39.76596+00,5304625639421822989,0,0
1639986162477621377,5662611761154100570,2020-03-06 09:12:26.171358+00,6721973855424032262,0,0
1337663341463374834,4578752548300521406,2020-03-06 10:12:24.664432+00,2934043667163699721,0,0
6392195865244809153,4350668590575230341,2020-03-06 10:16:46.567432+00,2338188722819010065,0,0
3038263926772671557,5662611761154100570,2020-03-06 10:24:35.406672+00,3818718324384711707,0,0
2494235255349916106,4350668590575230341,2020-03-06 10:32:41.572847+00,7702583256673107492,0,0
7054230670540682593,4578752548300521406,2020-03-06 10:03:50.106913+00,7685345450959992441,0,0
2448375096690876847,4578752548300521406,2020-03-06 10:54:01.246165+00,2869729137993038420,0,0
1666818732560405135,5662611761154100570,2020-03-06 10:43:10.50407+00,3818718324384711707,5,1
5004068394355025354,5662611761154100570,2020-03-06 11:09:10.940104+00,3818718324384711707,0,0
